City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
mehamn,71.0357,27.8492,44.31,85,100,4.72,NO,1624151730
sabha,27.0377,14.4283,83.34,19,0,10.42,LY,1624151730
fortuna,40.5982,-124.1573,102.47,68,20,9.22,US,1624151731
barao de melgaco,-16.1944,-55.9675,72.12,60,6,7.99,BR,1624151731
pueblo nuevo,23.3833,-105.3833,60.1,83,100,2.75,MX,1624151731
launceston,-41.45,147.1667,48.15,92,26,1.99,AU,1624151732
krasnyy chikoy,50.3643,108.7512,64.96,51,19,1.52,RU,1624151732
mogzon,51.7435,111.9606,57.02,74,88,5.53,RU,1624151732
san jose,37.3394,-121.895,97.7,48,1,1.99,US,1624151481
saryg-sep,51.5,95.6,67.89,48,88,3.27,RU,1624151733
bambanglipuro,-7.95,110.2833,62.6,79,97,0.69,ID,1624151733
bosaso,11.2842,49.1816,90.45,41,12,23.71,SO,1624151733
balabac,7.9868,117.0645,85.23,68,100,11.56,PH,1624151734
vila franca do campo,37.7167,-25.4333,68.41,93,67,10.36,PT,1624151734
andenes,69.3143,16.1194,48.18,81,90,3.44,NO,1624151734
ballina,-28.8667,153.5667,66.38,70,100,16.91,AU,1624151735
bennettsville,34.6174,-79.6848,80.78,77,1,5.75,US,1624151735
davenda,53.5556,119.317,57.0,94,99,7.43,RU,1624151735
paredon,16.0333,-93.8667,81.82,77,68,2.24,MX,1624151736
cockburn town,21.4612,-71.1419,81.03,84,100,19.19,TC,1624151736
capoterra,39.1763,8.9718,78.21,69,0,3.44,IT,1624151737
nokaneng,-19.6667,22.2667,62.11,49,90,11.74,BW,1624151737
jintur,19.6167,76.7,75.49,78,12,13.87,IN,1624151737
huejuquilla el alto,22.6,-103.8667,61.27,87,100,3.85,MX,1624151737
chuy,-33.6971,-53.4616,55.09,95,99,9.08,UY,1624151738
ust-maya,60.4167,134.5333,80.47,37,48,0.92,RU,1624151738
omboue,-1.5746,9.2618,74.89,84,10,9.13,GA,1624151738
santo antonio do amparo,-20.9464,-44.9189,58.17,77,6,7.49,BR,1624151543
srednekolymsk,67.45,153.6833,62.4,32,81,7.9,RU,1624151739
hailey,43.5196,-114.3153,82.26,17,1,9.22,US,1624151739
virginia beach,36.8529,-75.978,87.03,65,100,1.01,US,1624151549
plettenberg bay,-34.0527,23.3716,64.31,39,6,6.91,ZA,1624151740
minot,48.2325,-101.2963,79.79,60,100,9.64,US,1624151612
adet,11.2644,37.4888,57.4,84,100,2.24,ET,1624151740
langxiang,46.95,128.8833,60.01,82,100,4.79,CN,1624151740
san mateo del mar,16.2,-95.0,83.88,74,96,10.78,MX,1624151741
buluang,13.3068,123.3425,85.57,74,100,8.05,PH,1624151741
planeta rica,8.4147,-75.5883,76.77,93,98,8.23,CO,1624151741
sandwick,60.0,-1.25,49.82,76,40,5.75,GB,1624151741
tolbazy,54.0241,55.8825,68.76,90,0,10.98,RU,1624151742
akyab,20.15,92.9,78.39,87,100,5.48,MM,1624151742
khorinsk,52.1657,109.7726,64.4,59,47,7.27,RU,1624151742
fuxin,42.0156,121.6589,76.39,38,6,12.62,CN,1624151743
trebisacce,39.8708,16.5312,75.34,60,7,7.67,IT,1624151743
anadyr,64.75,177.4833,45.1,75,20,17.9,RU,1624151743
bukachacha,52.9833,116.9167,54.95,93,100,3.74,RU,1624151744
kalmunai,7.4167,81.8167,81.16,75,99,2.46,LK,1624151744
hetauda,27.4284,85.0322,81.75,96,100,5.19,NP,1624151744
vanimo,-2.6741,141.3028,84.29,66,29,3.67,PG,1624151745
dzilam gonzalez,21.2833,-88.9333,83.23,65,100,8.97,MX,1624151745
serravalle pistoiese,43.9061,10.8327,72.55,79,55,2.59,IT,1624151745
duldurga,50.6761,113.5931,52.59,92,100,6.64,RU,1624151745
barranca,-10.75,-77.7667,65.3,85,43,8.84,PE,1624151746
camana,-16.6228,-72.7111,63.57,86,74,6.67,PE,1624151746
bubaque,11.2833,-15.8333,79.3,77,90,15.14,GW,1624151746
trairi,-3.2778,-39.2689,78.19,79,3,8.16,BR,1624151747
champerico,14.3,-91.9167,83.35,73,100,1.97,GT,1624151747
campos novos,-27.4017,-51.225,51.17,99,100,2.15,BR,1624151747
novo cruzeiro,-17.4681,-41.8753,60.33,95,100,3.98,BR,1624151748
balkhash,46.844,74.9804,54.21,50,0,13.42,KZ,1624151748
inverell,-29.7833,151.1167,65.66,61,6,5.99,AU,1624151748
kamloops,50.6665,-120.3192,65.57,66,90,5.01,CA,1624151749
tuatapere,-46.1333,167.6833,45.27,74,1,2.26,NZ,1624151749
banikoara,11.2985,2.4386,78.8,73,100,9.93,BJ,1624151750
mayumba,-3.432,10.6554,73.51,89,0,7.07,GA,1624151750
usogorsk,63.4106,48.6872,48.07,76,11,5.32,RU,1624151750
laela,-8.5667,32.05,49.15,91,0,4.36,TZ,1624151750
yar-sale,66.8333,70.8333,50.16,63,97,11.72,RU,1624151751
turukhansk,65.8167,87.9833,48.51,84,100,6.02,RU,1624151751
palana,59.1167,159.9667,47.43,65,100,15.64,RU,1624151752
whitehorse,60.7161,-135.0538,79.02,19,20,18.99,CA,1624151752
barra do garcas,-15.89,-52.2567,71.42,51,5,1.99,BR,1624151752
ronne,55.1009,14.7066,71.51,68,71,9.22,DK,1624151753
benghazi,32.1167,20.0667,72.7,82,0,9.37,LY,1624151753
staraya russa,57.9944,31.3608,61.59,87,0,6.2,RU,1624151753
dunedin,-45.8742,170.5036,51.8,92,100,11.99,NZ,1624151753
chifeng,42.2683,118.9636,75.38,30,6,19.28,CN,1624151754
lavrentiya,65.5833,-171.0,50.61,64,93,4.74,RU,1624151754
yinchuan,38.4681,106.2731,79.41,21,100,6.55,CN,1624151754
vostok,46.4856,135.8833,59.07,43,100,12.46,RU,1624151755
ipixuna,-1.7625,-48.8043,76.95,97,94,3.24,BR,1624151755
batemans bay,-35.7167,150.1833,61.92,60,13,12.68,AU,1624151755
naze,28.3667,129.4833,74.32,74,100,7.27,JP,1624151756
takoradi,4.8845,-1.7554,77.13,87,71,8.9,GH,1624151756
corinto,37.9407,22.9573,77.68,73,2,3.44,GR,1624151756
bejar,40.3864,-5.7634,53.74,89,100,6.02,ES,1624151757
kuntaur,13.6667,-14.8833,83.53,48,66,10.76,GM,1624151757
harihar,14.5167,75.8,72.7,88,100,11.36,IN,1624151757
malanje,-9.5402,16.341,55.83,37,0,4.99,AO,1624151758
yenangyaung,20.4667,94.8833,77.81,84,87,12.26,MM,1624151758
tongliao,43.6125,122.2653,71.28,51,20,11.5,CN,1624151758
mao,39.8885,4.2658,75.76,83,0,12.66,ES,1624151758
adrar,20.5022,-10.0711,82.08,18,0,14.29,MR,1624151759
rio claro,-22.4114,-47.5614,67.82,44,100,2.98,BR,1624151759
skelleftea,64.7507,20.9528,46.76,100,90,5.75,SE,1624151760
soyalo,16.9,-92.9167,72.5,91,85,1.83,MX,1624151760
rio grande,-32.035,-52.0986,57.88,95,93,13.76,BR,1624151760
san nicolas,18.1725,120.5953,84.11,74,75,9.22,PH,1624151760
kortkeros,61.8106,51.5806,53.6,73,2,5.23,RU,1624151761
borisoglebskiy,57.2586,39.1508,60.44,81,5,5.53,RU,1624151761
margate,51.3813,1.3862,58.71,97,94,1.99,GB,1624151762
platanos,37.6667,21.6167,72.7,73,0,3.29,GR,1624151762
ulladulla,-35.35,150.4667,61.68,69,96,14.9,AU,1624151762
lorengau,-2.0226,147.2712,84.4,68,38,4.99,PG,1624151762
haines junction,60.7522,-137.5108,69.75,28,6,6.91,CA,1624151763
majene,-3.5403,118.9707,81.28,75,92,5.75,ID,1624151763
narsaq,60.9167,-46.05,48.42,74,100,2.48,GL,1624151763
malaryta,51.7905,24.074,62.24,93,5,3.83,BY,1624151764
suoyarvi,62.0833,32.35,58.3,81,0,5.01,RU,1624151764
san miguel,13.4833,-88.1833,85.66,74,40,3.44,SV,1624151764
okhotsk,59.3833,143.3,57.09,65,100,16.2,RU,1624151765
jumla,29.2747,82.1838,61.23,95,100,0.65,NP,1624151765
taoudenni,22.6783,-3.9836,96.66,11,65,1.66,ML,1624151765
tuckahoe,37.5901,-77.5564,81.32,77,1,0.0,US,1624151749
morros,-9.4467,-46.3003,74.53,48,1,2.39,BR,1624151766
tabuk,17.4189,121.4443,86.54,55,98,1.77,PH,1624151766
zhezkazgan,47.8043,67.7144,59.36,30,100,8.01,KZ,1624151766
stebnyk,49.2942,23.5636,62.24,94,7,2.98,UA,1624151767
bilokurakyne,49.5341,38.7307,60.3,76,14,10.18,UA,1624151767
quatre cocos,-20.2078,57.7625,71.71,66,49,19.15,MU,1624151767
burnie,-41.0667,145.9167,51.67,71,10,4.05,AU,1624151767
nemuro,43.3236,145.575,48.63,96,100,14.12,JP,1624151768
sapulpa,35.9987,-96.1142,87.51,56,1,10.36,US,1624151768
sheridan,44.8333,-106.9173,84.45,25,100,3.0,US,1624151608
brae,60.3964,-1.353,49.91,79,95,7.05,GB,1624151769
siavonga,-16.5382,28.7088,64.44,57,63,6.35,ZM,1624151769
urdoma,61.7533,48.5442,51.21,70,6,3.47,RU,1624151769
motygino,58.1831,94.7592,68.7,61,27,6.04,RU,1624151770
diamantino,-14.4086,-56.4461,70.97,55,6,3.0,BR,1624151770
sao gabriel da cachoeira,-0.1303,-67.0892,72.79,98,98,2.13,BR,1624151770
bollnas,61.3482,16.3946,49.39,98,96,1.79,SE,1624151771
acarau,-2.8856,-40.12,76.96,84,15,11.92,BR,1624151771
totness,5.8833,-56.3167,78.44,86,7,12.15,SR,1624151771
mogadishu,2.0371,45.3438,76.98,83,100,18.05,SO,1624151771
banda aceh,5.5577,95.3222,80.96,81,100,9.78,ID,1624151772
panaba,21.2833,-88.2667,82.02,72,100,12.73,MX,1624151772
ostrovnoy,68.0531,39.5131,50.59,76,100,9.22,RU,1624151772
krasnoselkup,65.7,82.4667,43.25,81,100,9.15,RU,1624151773
blackwater,-23.5833,148.8833,62.67,40,0,9.37,AU,1624151773
kupang,-10.1667,123.5833,86.58,66,20,18.41,ID,1624151773
wolverhampton,52.5855,-2.123,54.81,89,100,1.01,GB,1624151663
muros,42.7762,-9.0603,58.23,91,100,22.7,ES,1624151774
halacho,20.4833,-90.0833,81.54,64,89,4.41,MX,1624151774
guhagar,17.4842,73.1929,78.85,85,92,11.9,IN,1624151774
ucluelet,48.9329,-125.5528,76.05,79,83,1.01,CA,1624151565
cedar city,37.6775,-113.0619,93.18,11,100,9.8,US,1624151590
kostomuksha,64.571,30.5767,56.64,83,100,1.79,RU,1624151775
nara,34.6851,135.8049,78.26,58,57,6.13,JP,1624151775
manjacaze,-24.7117,33.8828,61.07,96,72,1.68,MZ,1624151775
grants,35.1473,-107.8514,88.03,13,1,12.66,US,1624151775
kucevo,44.4775,21.67,58.89,97,31,5.41,RS,1624151776
isla mujeres,21.2311,-86.731,84.16,86,96,11.12,MX,1624151776
elko,41.0002,-115.5012,93.22,7,5,18.01,US,1624151776
nadym,65.5333,72.5167,52.14,63,37,13.47,RU,1624151777
muli,2.9167,73.5667,83.5,69,95,15.93,MV,1624151777
yangjiang,21.85,111.9667,91.94,69,100,6.06,CN,1624151715
thinadhoo,0.5333,72.9333,83.48,69,60,13.18,MV,1624151777
saint-pierre,-21.3393,55.4781,68.29,78,75,9.22,RE,1624151778
aniva,46.7144,142.5294,60.91,56,100,13.38,RU,1624151778
grand-lahou,5.1367,-5.0242,76.69,88,95,9.42,CI,1624151778
shimanovsk,52.0,127.7,69.57,59,100,6.73,RU,1624151779
palmer,42.1584,-72.3287,77.63,74,90,1.99,US,1624151779
okha,53.5739,142.9478,65.95,44,6,2.75,RU,1624151779
manzhouli,49.6,117.4333,55.33,89,100,10.4,CN,1624151780
waterloo,43.4668,-80.5164,69.31,84,0,6.11,CA,1624151644
zhigansk,66.7697,123.3711,72.59,45,97,1.5,RU,1624151780
castra-nova,44.1167,24.0167,63.68,92,100,3.65,RO,1624151780
yulara,-25.2406,130.9889,53.44,58,6,13.8,AU,1624151781
roald,62.5833,6.1333,55.17,87,90,12.66,NO,1624151781
lashio,22.9333,97.75,70.2,95,100,1.95,MM,1624151781
egvekinot,66.3167,-179.1667,49.98,53,66,3.83,RU,1624151782
lagos,6.5833,3.75,77.68,88,100,4.16,NG,1624151519
pishin,30.5803,66.9961,70.56,34,0,3.11,PK,1624151782
dwarka,22.2394,68.9678,83.93,72,100,18.03,IN,1624151783
carauari,-4.8828,-66.8958,72.88,98,73,2.33,BR,1624151502
yeppoon,-23.1333,150.7333,65.98,47,0,7.67,AU,1624151783
vallenar,-28.5708,-70.7581,57.36,50,0,3.38,CL,1624151783
kysyl-syr,63.8986,122.7617,83.17,44,25,2.73,RU,1624151784
vardo,70.3705,31.1107,44.19,85,98,3.0,NO,1624151784
maniitsoq,65.4167,-52.9,39.85,96,100,23.78,GL,1624151784
comodoro rivadavia,-45.8667,-67.5,44.46,61,0,11.5,AR,1624151785
sur,22.5667,59.5289,85.98,52,99,3.83,OM,1624151785
bamako,12.65,-8.0,75.61,94,20,4.61,ML,1624151782
bilibino,68.0546,166.4372,53.78,59,100,2.68,RU,1624151786
pitimbu,-7.4706,-34.8086,72.19,85,62,12.48,BR,1624151786
khoy,38.5504,44.9535,67.06,42,0,1.63,IR,1624151786
mastic beach,40.7668,-72.8521,70.32,90,90,7.0,US,1624151787
svetlaya,46.5389,138.3297,55.24,63,100,16.69,RU,1624151787
